DDX11L1	chr1	11869	14409	
WASH7P	chr1	14404	29570	
MIR6859-3	chr1	17369	17436	
RP11-34P13.3	chr1	29554	31109	
MIR1302-9	chr1	30366	30503	
FAM138A	chr1	34554	36081	
OR4G4P	chr1	52473	53312	
OR4G11P	chr1	62948	63887	2
OR4F5	chr1	69091	70008	2
RP11-34P13.7	chr1	89295	133723	2
RP11-34P13.8	chr1	89551	91105	2
CICP27	chr1	131025	134836	2
RP11-34P13.15	chr1	135141	135895	2
RP11-34P13.16	chr1	137682	137965	2
RP11-34P13.14	chr1	139790	140339	2
RP11-34P13.13	chr1	141474	173862	2
RNU6-1100P	chr1	157784	157887	2
RP11-34P13.9	chr1	160446	161525	2
FO538757.3	chr1	182393	184158	2
FO538757.2	chr1	184923	200322	2
MIR6859-2	chr1	187891	187958	2
FO538757.1	chr1	200880	201017	2
AP006222.2	chr1	257864	297502	2
AP006222.1	chr1	258568	259024	2
RP4-669L17.1	chr1	347982	348366	2
RP5-857K21.15	chr1	357383	359681	2
RP4-669L17.2	chr1	358857	365704	2
RP4-669L17.10	chr1	365389	501617	2
WBP1LP7	chr1	439870	440232	2
OR4F29	chr1	450740	451678	2
RP4-669L17.4	chr1	485032	485211	2
CICP7	chr1	487101	489906	2
RP4-669L17.8	chr1	491225	493241	2
U6	chr1	516376	516479	2
RP5-857K21.1	chr1	585989	588453	2
RP5-857K21.2	chr1	587629	594768	2
RP5-857K21.3	chr1	594453	597498	2
RP5-857K21.4	chr1	601436	724707	2
RP5-857K21.5	chr1	627377	629010	2
MTND1P23	chr1	629062	629433	2
MTND2P28	chr1	629640	630683	2
AC114498.1	chr1	630896	630958	2
RP5-857K21.6	chr1	631074	632616	2
MIR6723	chr1	632325	632413	2
RP5-857K21.7	chr1	632757	633438	2
MTATP8P1	chr1	633535	633741	2
MTATP6P1	chr1	633696	634376	2
RP5-857K21.11	chr1	634376	634922	2
WBP1LP6	chr1	674842	675265	2
OR4F16	chr1	685716	686654	2
CICP3	chr1	722092	724903	2
RP11-206L10.1	chr1	726231	728147	2
RP11-206L10.3	chr1	741813	750016	2
RNU6-1199P	chr1	758233	758336	2
RP11-206L10.5	chr1	759032	764925	2
RP11-206L10.4	chr1	760911	761989	2
RP11-206L10.2	chr1	764857	778626	2
RP11-206L10.9	chr1	778770	810060	2
RP11-206L10.8	chr1	800879	817712	2
FAM87B	chr1	817371	819837	2
LINC01128	chr1	825138	859446	2
LINC00115	chr1	826206	827522	2
FAM41C	chr1	868071	876903	2
TUBB8P11	chr1	873292	874349	2
RP11-54O7.16	chr1	904834	915976	2
RP11-54O7.1	chr1	911435	914948	2
RP11-54O7.2	chr1	914171	914971	2
RP11-54O7.3	chr1	916865	921016	2
SAMD11	chr1	924880	944581	2
NOC2L	chr1	944204	959309	2
KLHL17	chr1	960587	965715	2
AL645608.1	chr1	965110	965166	2
PLEKHN1	chr1	966497	975865	2
PERM1	chr1	975204	982093	2
RP11-54O7.17	chr1	995966	998051	2
HES4	chr1	998962	1000172	2
ISG15	chr1	1001138	1014541	2
RP11-54O7.10	chr1	1008076	1008229	2
RP11-54O7.11	chr1	1011997	1013193	2
AGRN	chr1	1020123	1056118	2
RP11-54O7.14	chr1	1055033	1056116	2
RP11-465B22.3	chr1	1059734	1069355	2
RP11-54O7.18	chr1	1062208	1063288	2
RNF223	chr1	1070966	1074307	2
C1orf159	chr1	1081818	1116361	2
LINC01342	chr1	1137017	1144056	2
MIR200B	chr1	1167092	1167202	2
MIR200A	chr1	1167846	1167956	2
MIR429	chr1	1169005	1169087	2
RP11-465B22.8	chr1	1169357	1170343	2
TTLL10-AS1	chr1	1173056	1179555	2
TTLL10	chr1	1173884	1197935	2
TNFRSF18	chr1	1203508	1206691	2
TNFRSF4	chr1	1211326	1214138	2
SDF4	chr1	1216908	1232031	2
B3GALT6	chr1	1232265	1235041	2
FAM132A	chr1	1242446	1246722	2
RP5-902P8.12	chr1	1249777	1251334	2
UBE2J2	chr1	1253909	1273885	2
RP5-902P8.10	chr1	1275223	1280420	2
SCNN1D	chr1	1280436	1292029	2
ACAP3	chr1	1292376	1309609	2
MIR6726	chr1	1296110	1296170	2
PUSL1	chr1	1308567	1311677	2
CPSF3L	chr1	1311585	1324691	2
MIR6727	chr1	1312502	1312566	2
RP5-890O3.9	chr1	1317581	1318689	2
CPTP	chr1	1324756	1328897	2
TAS1R3	chr1	1331314	1335306	2
DVL1	chr1	1335276	1349350	2
MIR6808	chr1	1339650	1339708	2
MXRA8	chr1	1352689	1361777	2
AURKAIP1	chr1	1373730	1375495	2
RP5-890O3.3	chr1	1378666	1379032	2
CCNL2	chr1	1385711	1399328	2
RP4-758J18.2	chr1	1399522	1402046	2
MRPL20	chr1	1401908	1407313	2
RN7SL657P	chr1	1405460	1405752	2
RP4-758J18.13	chr1	1409096	1410618	2
ANKRD65	chr1	1418420	1421769	2
RP4-758J18.7	chr1	1420245	1422691	2
TMEM88B	chr1	1426128	1427787	2
RP4-758J18.10	chr1	1430539	1434573	2
VWA1	chr1	1434861	1442882	2
ATAD3C	chr1	1449689	1470158	2
ATAD3B	chr1	1471769	1497848	2
ATAD3A	chr1	1512151	1534687	2
TMEM240	chr1	1535174	1540453	2
SSU72	chr1	1541673	1574869	2
RP5-832C2.5	chr1	1574975	1577075	2
AL645728.1	chr1	1579756	1580046	2
RP11-345P4.11	chr1	1583510	1583909	2
Metazoa_SRP	chr1	1589065	1589350	2
