Sample ID	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22
TCGA-LI-A67I-01A	11.7439	16.3353	1.3914	19.0394	5.9791	23.4036	12.0945	4.3518	8.3463	14.0329	15.3742	3.4709	5.6238	2.0689	2.1411	8.1685	6.4082	11.3869	4.8079	4.0311	2.0154	1.2942
TCGA-DX-A6YS-01A	51.1709	16.9551	18.245	125.2906	79.2404	109.7389	156.1426	55.5864	14.4563	5.3269	43.8275	30.7312	31.4505	7.3856	22.5419	1.6017	26.2051	16.4983	14.2161	11.9947	8.2261	1.6563
TCGA-MJ-A68J-01A	9.0844	5.9242	1.1278	0.0	5.1989	2.5224	1.2537	3.4395	0.0	3.788	1.6023	2.9872	0.0	1.4991	0.0	0.0	0.0	2.0187	0.0	0.0	1.0628	0.0
TCGA-DX-AB32-01A	5.8663	4.8692	133.2358	17.3564	10.2639	17.2675	6.9939	7.4627	7.3838	3.6953	4.5716	12.8707	3.7119	0.4054	0.0	13.9936	2.1467	19.8748	9.5717	3.0921	1.2522	8.7983
TCGA-DX-A6YQ-01A	34.0497	28.933	24.7186	27.0229	13.1587	31.852	15.5629	4.2343	9.4215	6.1867	21.9626	17.2141	5.8553	2.9459	5.3736	10.85	44.0757	2.8479	22.5475	29.5699	3.2876	7.1511
TCGA-X6-A8C3-01A	3.2359	13.0489	5.8131	3.3981	9.2113	6.9513	19.2026	13.9345	13.5857	14.1343	37.9537	14.1228	5.2455	2.8324	3.4725	5.2122	7.0984	9.5401	7.0018	7.9642	0.3827	3.7168
TCGA-DX-A6YZ-01A	8.7235	12.2735	13.9588	10.6359	9.0912	33.6342	13.0276	26.4557	10.4847	15.3601	12.2959	91.0691	5.6579	6.1865	78.4558	5.8715	72.1301	4.269	4.1808	13.999	1.8664	3.1984
TCGA-DX-A8BG-01A	47.1627	29.3082	2.1918	7.5113	6.0698	8.6307	9.3199	7.6812	6.104	7.8689	9.4437	4.3428	8.3288	20.6311	28.3082	14.9448	23.6378	27.4285	8.895	2.9548	2.8755	1.5982
TCGA-DX-A8BV-01A	26.9025	2.0525	2.795	4.2195	25.1811	3.3439	8.585	12.9841	15.0948	2.3949	16.3746	5.6225	8.5759	5.4129	2.8123	1.5514	8.1271	4.2761	1.496	13.2253	12.0939	5.5574
TCGA-DX-AB2E-01A	13.4906	4.5863	13.7517	15.3968	34.2394	4.4488	6.8737	30.83	41.8189	11.7277	8.2964	3.7929	6.3353	0.8409	7.3636	5.7894	2.5755	3.2207	4.7087	9.3213	1.1882	0.0
TCGA-DX-A6YX-01A	32.627	23.7795	16.097	4.9979	4.0925	12.2408	19.9973	116.7717	17.5044	22.1895	23.2301	29.6372	6.6244	5.6864	8.1205	8.6018	23.9326	10.5427	1.0066	7.1952	7.1048	2.6609
TCGA-K1-A6RU-01A	12.6931	7.4583	48.4377	6.3743	10.8254	19.6067	5.3019	0.0	99.2983	0.0	15.9915	5.8767	12.5329	43.572	1.0853	10.0157	7.7979	5.5628	5.1263	15.388	9.419	1.4218
TCGA-DX-A6YT-01A	31.0934	7.898	13.7497	17.2869	8.7806	21.6709	16.3148	15.9663	26.1751	17.0253	12.1391	14.4519	2.1141	25.6018	16.8717	8.1063	54.4979	3.142	5.9174	4.5825	4.3118	1.0689
TCGA-DX-AB2L-01A	0.0	0.0	2.3204	0.0	1.3119	2.7022	2.6256	1.4232	1.1443	8.8656	0.0	0.0	0.0	0.0	0.0	2.6716	0.0	2.34	1.1642	2.1309	0.8831	1.5881
TCGA-X6-A8C6-01A	60.3695	16.2285	34.5711	13.158	15.6692	12.4443	43.4872	61.1427	164.8763	11.0507	6.0671	47.6234	6.1946	78.3699	20.3276	0.2691	6.2575	13.0561	10.7533	36.203	3.0851	7.4648
TCGA-DX-A6YU-01A	12.854	16.0852	2.4948	24.9381	21.3992	12.7006	15.9491	6.2881	11.9511	7.7682	6.2312	11.261	4.8872	10.7638	1.0029	13.8987	12.1621	4.4132	2.3475	18.7286	11.1563	1.3215
TCGA-DX-A6YR-01A	32.5319	16.5771	11.9016	31.0962	10.3901	22.3851	34.8541	22.7259	47.2497	50.9389	55.4293	5.2843	28.2173	7.5091	5.1779	6.5332	15.6456	15.1716	39.2848	18.7874	55.1141	15.486
TCGA-DX-A6YV-01A	51.8954	33.9618	16.2331	11.335	11.5676	25.1954	2.4292	6.3295	18.8135	13.424	26.5751	20.0591	8.0052	4.7868	3.2406	5.8439	41.6206	3.63	14.8359	12.3504	11.5862	1.338
TCGA-X6-A7W8-01A	6.3374	20.6613	23.0148	16.9475	45.1477	11.4324	16.1408	53.3173	12.6787	20.7196	13.1678	10.7134	73.2062	19.3733	5.32	13.5767	85.6384	31.4854	1.6273	34.134	20.7423	3.3071
TCGA-DX-AB2S-01A	58.5159	0.0	0.0	0.0	0.0	1.6367	5.0396	0.8963	0.0	0.0	0.0	258.3577	1.5539	0.0	1.0652	0.0	0.0	0.0	2.4484	0.0	0.0	0.791700000000001
TCGA-DX-AB2T-01A	28.9115	33.3852	8.1658	6.0588	4.0839	121.053	2.5197	13.2533	13.774	6.7499	14.561	25.9901	26.6546	13.0999	0.2726	11.5548	18.8704	48.8367	0.9911	3.2108	0.9231	6.9654
TCGA-DX-AB2V-01A	106.2119	16.6657	50.6524	11.937	113.0468	24.5649	51.5187	33.8467	2.837	3.7796	27.5395	91.0988	10.2343	100.449	1.7699	10.0671	16.2084	5.3359	10.3675	11.1696	7.3306	5.4844
