Sample ID	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22
TCGA-N1-A6IA-01A	24.908	30.1201	3.7234	11.5714	16.9942	6.4174	0.9696	5.0572	3.78	19.6215	3.3327	2.719	14.1637	1.5175	3.8413	11.5374	15.4561	0.0	6.6289	5.2202	6.5177	0.3272
TCGA-K1-A3PN-01A	0.0	2.6229	0.0	0.0	0.9031	5.1648	0.0	2.651	0.3185	0.0	0.3662	5.8884	5.4454	0.9142	0.6052	7.0747	38.5053	0.0	7.2206	0.9041	0.0	1.9464
TCGA-WP-A9GB-01A	33.2623	14.3644	31.4817	35.437	22.8	32.8452	26.3336	27.2877	21.3777	24.8061	23.5379	7.1243	33.6089	6.8367	11.3507	30.9338	14.5975	12.2102	6.8887	2.8005	9.0941	1.811
TCGA-K1-A42X-01A	20.7108	5.7057	6.1687	2.617	1.7568	8.1086	9.2589	4.6859	6.238	2.1821	31.9355	2.502	3.3916	18.839	0.0	1.1131	6.4349	6.323	17.5601	3.0457	2.0436	3.6671
TCGA-FX-A76Y-01A	2.2808	0.0	0.0	0.0	4.9909	3.2862	1.6514	0.0	0.0	40.9973	2.2151	0.0	28.8195	2.4426	1.184	9.1914	6.8895	1.2204	3.5617	0.0	0.0	0.0
TCGA-X6-A7WB-01A	25.7671	51.3883	6.9926	11.1962	8.271	22.662	8.7609	7.7176	6.171	2.1512	7.796	5.9125	26.7638	3.3043	5.2221	4.3227	8.0109	0.73	2.147	23.8533	1.8459	7.1513
TCGA-FX-A48G-01A	13.9131	11.3632	10.8005	5.1637	4.4261	19.9824	10.7105	6.0654	51.3209	21.4886	13.9547	17.0394	2.6692	11.3119	10.22	7.972	19.2768	2.7105	7.9947	29.4594	1.2377	1.6164
TCGA-JV-A5VE-01A	19.3137	31.0506	11.4133	43.3386	9.4871	5.2615	7.1181	36.231	7.4477	20.8854	6.7821	28.4223	13.7162	12.4382	5.71	5.9633	16.3968	14.7241	1.1619	7.3464	5.1571	0.8798
TCGA-X2-A95T-01A	5.1091	26.5291	4.6722	4.6911	10.4014	5.2716	10.3079	8.2597	2.6145	0.7446	0.6681	6.9559	27.1619	16.2891	0.8349	11.1823	12.9461	2.2155	8.3057	10.6769	1.841	4.1043
TCGA-KF-A41W-01A	12.1802	6.8719	3.3314	5.4873	21.2168	3.8442	4.6359	11.9461	5.8421	14.8329	6.2029	4.2568	43.489	2.7379	11.3779	1.4988	15.0742	30.9186	8.1202	5.6878	0.6788	3.0128
TCGA-IE-A4EH-01A	9.9594	12.9482	5.77	4.6254	6.0685	4.674	5.9986	1.3099	4.0561	9.3825	8.6114	6.0307	8.1755	1.7308	2.1637	10.0003	9.382	5.4902	9.3839	1.8265	2.7193	3.5399
TCGA-HB-A43Z-01A	23.4246	19.0598	41.9225	12.4505	7.1242	12.0617	20.972	17.5486	4.0554	36.4606	13.7256	13.4205	55.4608	6.7149	14.5739	6.0669	18.2971	71.6421	2.145	5.5544	45.0546	2.8536
