Sample ID	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22
TCGA-LI-A67I-01A	11.7439	16.3353	1.3914	19.0394	5.9791	23.4036	12.0945	4.3518	8.3463	14.0329	15.3742	3.4709	5.6238	2.0689	2.1411	8.1685	6.4082	11.3869	4.8079	4.0311	2.0154	1.2942
TCGA-DX-AB2F-01A	3.6632	106.1421	7.7164	3.0498	4.0444	211.5036	4.6434	17.7324	5.096	4.1747	12.928	982.9552	10.9858	2.8645	7.7821	3.2946	0.0	10.275	8.7451	26.7892	1.1376	13.0483
TCGA-FX-A3NK-01A	3.7243	1.4272	11.6301	6.2137	0.5419	406.282	0.0	36.0185	1.2483	1.6672	12.5483	753.5864	29.2416	0.0	32.5549	0.0	0.0	1.21	83.4697	13.6061	0.0	3.1067
TCGA-3B-A9HO-01A	102.8314	0.0	2.9116	0.0	137.202	0.0	0.0	95.9329	2.7772	1.1721	0.0	1433.4799	0.0	0.0	7.3916	2.0818	0.2619	2.0048	27.6559	12.5189	150.6103	48.2816
TCGA-3B-A9HU-01A	1.4975	2.8333	0.0	3.4675	1.5618	2.172	3.7753	1.4014	0.0	1.0623	2.283	7.8527	13.4098	0.0	0.0	3.8074	4.887	1.6188	3.1102	0.0	3.0663	1.3537
TCGA-QQ-A5VA-01A	3.1322	2.1104	9.8775	22.9823	23.9321	5.0375	99.4959	64.4107	17.683	3.1309	43.8278	6.2495	2.0229	11.8036	28.0309	0.0	3.9271	9.1542	0.0	1.472	0.0	0.7982
TCGA-PC-A5DN-01A	6.048	0.0	4.4475	3.002	0.0	329.5199	3.5224	3.8816	3.5489	0.0	6.9221	1105.4394	0.0	0.0	1.5371	0.0	5.1227	0.0	0.0	1.8317	2.2969	0.0
TCGA-DX-A7EF-01A	29.1304	23.6653	36.1588	30.8006	185.5366	13.9988	326.0794	27.6159	25.9149	1.7814	20.5177	7.8823	23.3513	9.5041	39.4772	14.092	15.0275	23.3045	1.6008	9.1284	4.1632	1.1113
TCGA-MJ-A68H-01A	14.3149	23.7916	12.7317	19.49	12.0334	7.2251	2.3044	4.0443	4.741	16.0582	1.7899	5.8412	2.8582	9.9085	2.5123	17.7379	0.0	5.9985	12.8214	0.0	2.4272	6.029
TCGA-QQ-A5VC-01A	28.1012	21.2345	6.506	18.6683	27.0637	96.9339	19.0361	52.8928	38.1195	9.9048	53.7303	18.3892	28.9358	19.5705	13.0856	8.1967	10.2566	7.8385	5.4034	4.4344	23.155	0.0
TCGA-N1-A6IA-01A	24.908	30.1201	3.7234	11.5714	16.9942	6.4174	0.9696	5.0572	3.78	19.6215	3.3327	2.719	14.1637	1.5175	3.8413	11.5374	15.4561	0.0	6.6289	5.2202	6.5177	0.3272
TCGA-DX-A6YS-01A	51.1709	16.9551	18.245	125.2906	79.2404	109.7389	156.1426	55.5864	14.4563	5.3269	43.8275	30.7312	31.4505	7.3856	22.5419	1.6017	26.2051	16.4983	14.2161	11.9947	8.2261	1.6563
TCGA-MJ-A68J-01A	9.0844	5.9242	1.1278	0.0	5.1989	2.5224	1.2537	3.4395	0.0	3.788	1.6023	2.9872	0.0	1.4991	0.0	0.0	0.0	2.0187	0.0	0.0	1.0628	0.0
TCGA-DX-A3U7-01A	12.1603	105.1236	6.5841	13.7186	3.7391	3.8453	5.053	8.7548	6.9283	20.1034	19.7243	6.1194	4.2484	17.7572	6.6351	4.821	2.5763	64.977	28.2993	7.261	25.8578	7.0116
TCGA-DX-A7ES-01A	4.9719	5.6168	0.0	8.9554	1.3423	59.0393	2.299	1.7246	46.313	2.0375	0.0	396.9723	0.0	0.0	1.193	0.0	1.4354	2.3108	26.5445	2.8733	0.0	14.9806
TCGA-DX-A48O-01A	22.3682	9.2024	6.0394	4.7629	2.9241	5.9117	6.2111	7.6746	3.778	4.163	3.2093	3.9399	9.8574	0.7779	1.1022	4.9563	11.8148	4.2979	9.6234	3.0028	1.2799	2.7132
TCGA-Z4-AAPF-01A	4.093	14.0486	1.8021	11.6422	3.0152	2.6777	3.4975	1.9238	6.7189	4.3689	0.3753	12.9463	2.3985	0.2566	0.0	0.0	0.0	3.3675	0.0	0.0	0.0	1.4982
TCGA-3B-A9HZ-01A	2.932	3.4584	1.1262	4.8429	0.842	9.8829	1.1406	0.0	1.5648	6.6138	2.1033	1.6578	4.7832	1.2531	10.4863	0.5758	2.9934	1.1896	1.8042	1.1234	0.0	1.119
TCGA-K1-A3PO-01A	1.8934	0.7116	2.0855	0.0	1.3345	1.6376	0.0	0.0	1.1896	0.0	1.1405	0.0	0.7806	0.0	1.1461	0.0	0.0	0.0	2.2641	1.6046	0.0	0.0
