Sample ID	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22
TCGA-DX-A7EF-01A	29.1304	23.6653	36.1588	30.8006	185.5366	13.9988	326.0794	27.6159	25.9149	1.7814	20.5177	7.8823	23.3513	9.5041	39.4772	14.092	15.0275	23.3045	1.6008	9.1284	4.1632	1.1113
TCGA-HB-A3YV-01A	83.8257	9.1922	6.693	176.6574	24.3865	726.4486	56.6973	21.6391	24.1105	3.7811	21.7854	458.681	69.567	7.1203	11.4245	3.39	12.5403	24.7185	14.8489	17.6026	2.1993	5.292
TCGA-VT-A80G-01A	25.8293	96.7282	57.0985	115.0061	21.8165	29.255	20.9486	18.5888	70.4665	10.2108	24.7838	18.1035	3.0537	11.4595	5.4181	13.9647	16.1015	18.6643	3.8855	20.1368	6.9738	7.9351
TCGA-DX-A8BP-01A	5.0744	13.332	6.5929	1.0197	35.9385	0.9239	11.1696	2.1288	6.8875	3.0738	2.6277	0.0	6.2564	0.8717	0.0	2.3773	0.0	0.0	2.4586	7.6454	0.0	0.0
TCGA-DX-AB2W-01A	22.7542	23.932	43.2311	19.165	26.3411	2.1736	12.2833	25.2803	11.8775	13.5464	24.244	76.2642	3.6105	3.2865	50.5028	3.3848	1.6532	9.5593	6.2481	31.3922	81.6111	6.461
TCGA-X9-A973-01A	2.6221	6.2998	4.7054	10.0198	0.0	8.1714	12.2597	4.5899	1.2395	0.0	6.1527	5.5858	6.4349	1.6005	1.1906	0.2786	2.6718	1.6324	3.26	1.664	1.3244	0.0
TCGA-IE-A6BZ-01A	20.6503	2.3754	13.425	13.9935	5.1126	107.8848	29.859	23.0089	6.7652	6.5574	9.3172	13.4645	10.3014	0.6777	7.1446	2.8203	15.9058	12.8173	25.9358	15.2454	0.2815	1.3228
TCGA-DX-A8BO-01A	13.381	14.4655	9.5645	9.7314	4.0912	11.4204	7.4462	15.6202	9.796	11.8156	16.1574	5.8853	1.2806	8.8073	2.3994	4.0545	10.6387	10.077	2.4934	5.6295	0.7552	9.2457
TCGA-DX-A8BN-01A	0.5808	20.4293	6.4151	4.1364	43.2003	53.5251	4.1017	8.33	3.2056	0.0	3.4703	4.3941	14.6714	1.9993	7.2126	27.015	6.0657	0.611	49.0751	2.0315	0.8652	7.1689
TCGA-HB-A2OT-01A	2.8767	2.4043	0.0	10.4547	7.7813	7.2576	7.919	0.0	9.3601	6.9943	0.0	2.674	10.2042	0.5941	0.0	6.2877	9.7896	0.0	1.4938	1.5791	0.3243	2.5269
TCGA-DX-AB2O-01A	218.5243	180.4443	113.9805	244.5496	20.2891	22.1553	24.8763	153.3617	33.0875	60.0144	46.7406	45.3481	70.7608	67.7249	0.7342	12.6831	12.5753	30.5477	2.8933	0.0	8.8464	0.7223
TCGA-QC-A7B5-01A	10.5452	1.9891	2.3036	1.9153	0.695	0.5496	7.2692	0.0	4.4847	0.0	0.0	0.0	2.5218	0.4732	0.48	5.8686	2.6056	0.4812	3.4039	4.9191	0.0	0.0
TCGA-SG-A6Z4-01A	20.001	11.8523	37.5206	15.1686	4.3917	7.118	7.8716	7.3348	5.0212	9.3329	14.0634	2.9313	14.9827	3.029	4.1393	2.2578	5.8018	5.8097	5.6011	7.013	0.4702	1.1316
TCGA-DX-AB2Q-01A	16.1371	15.7166	8.2681	20.0125	11.6266	19.0456	52.3418	126.7892	11.7148	27.6251	149.096	11.5075	5.7488	6.6969	10.0317	26.3654	28.2169	11.7532	6.5628	34.7755	11.9069	12.4442
TCGA-DX-AB2Z-01A	14.1457	3.5314	20.3878	16.2225	11.0342	1.7332	3.9072	8.4717	6.1148	8.9848	2.3525	3.0058	1.8292	21.4221	3.9716	0.256	2.5271	27.4568	0.5188	7.2507	5.4246	1.3083
TCGA-Z4-AAPG-01A	13.1556	10.5842	8.0976	28.6863	19.2439	13.6491	19.1184	18.4952	28.2847	14.66	8.0851	10.5246	7.805	10.2452	17.9006	9.6162	8.0839	9.3307	10.4113	10.1826	6.7008	2.1636
TCGA-DX-AB2J-01A	2.8525	0.0	34.222	2.1812	0.0	0.0	0.0	3.9834	6.8662	6.7606	0.0	27.1975	1.3246	0.0	0.0	8.2478	2.7565	1.3338	1.3419	2.2389	0.0	2.4574
